srno,username,id,hash,name,group,status
1,Gurka84,1158621283,7714681984373712229,Gurka,https://t.me/jetfuelfinance,3
2,Memelvr,1739932872,-7011223359149510175,Memeliver,https://t.me/jetfuelfinance,3
3,johhnnylyu,6017144933,4096594190070659292,Johnny Lyu,https://t.me/jetfuelfinance,1
4,Aera246287,6136816702,2697491605696675333,Aera Lia,https://t.me/jetfuelfinance,1
5,andrewthedude,1876436602,2174373588812010351,Andrew,https://t.me/jetfuelfinance,1
6,jetfuelmiro,1429105672,-6974994511905799249,Flight Commander,https://t.me/jetfuelfinance,3
7,defimaniac,1309579504,-271656247566520959,Defi Maniac,https://t.me/jetfuelfinance,1
8,Swantwattles,6171827495,-6888469605522143076,Bert,https://t.me/jetfuelfinance,1
9,dongdong77888,6180000647,7126769615800935849,xudongdong,https://t.me/jetfuelfinance,3
10,Ox4non,368839722,-3638739365959993070,0x4non,https://t.me/jetfuelfinance,3
11,Asmashahd,5727073533,-1023146546571848038,Asma Shahd,https://t.me/jetfuelfinance,1
12,gerortiz77,5903464315,-3787131040963035687,Gerald,https://t.me/jetfuelfinance,1
13,Muradmrd,1910416291,3131656429630284788,Murad,https://t.me/jetfuelfinance,3
14,firemedic112,1370125473,1292684280146279609,Firemedic / Tolga⚕️,https://t.me/jetfuelfinance,3
15,abatan12,5673842512,3887083183987896298,Abatan,https://t.me/jetfuelfinance,1
16,defiimaniac,6084471016,-5495359869495493803,Defi Maniac [Jetswap.finance BizDev],https://t.me/jetfuelfinance,1
17,HabibaFatima22,5560728898,3503786755280890652,Habiba Fatima,https://t.me/jetfuelfinance,3
18,fyprrrpfe83hs8,6259325680,-3813339520825807906,Diago,https://t.me/jetfuelfinance,1
19,Lakahds,5030710551,-4990832212963391127,s,https://t.me/jetfuelfinance,3
20,knowthemselves,1472575189,-6828314956853176254,God’s Mercy,https://t.me/jetfuelfinance,2
21,happy_coder,5171024022,-2534210475678493955,Crypto,https://t.me/jetfuelfinance,3
22,BingoSanders,5319629056,-4967688539703602082,Bingo,https://t.me/jetfuelfinance,1
23,blackstorm600k,230623235,158576425192589909,💹LX,https://t.me/jetfuelfinance,3
24,Debratrevor,6083175679,-8819143446095282783,Debra,https://t.me/jetfuelfinance,3
25,fatimahassan_94,5299951943,-4322665031026293223,Fatima(Will Never Dm For Funds),https://t.me/jetfuelfinance,3
26,PlataYMiedoNuncaTuvimos,1174504820,-6890624898999313893,Thiago Michel,https://t.me/jetfuelfinance,3
27,butcheressDekle,6121519541,1519868786944204847,Deon,https://t.me/jetfuelfinance,1
28,Therown,1627238071,-3038293162862651915,jennie | BORN TO BE RICH,https://t.me/jetfuelfinance,1
29,hugomigl,858158925,-2354557229442101636,Hugo,https://t.me/jetfuelfinance,1
30,soft_9,2068598746,-3788771409457102983,SoftDev,https://t.me/jetfuelfinance,1
31,airdr0p2023,5470730477,6867517387136390707,🎯کانال ایردراپ Bio,https://t.me/jetfuelfinance,1
32,swe_pooja_sharma,5781919120,-924133292951519836,Pooja,https://t.me/jetfuelfinance,3
33,shantanush,264120941,-4483659765406261519,Shantanu,https://t.me/jetfuelfinance,3
34,a1s2ee3,1245569938,-5203942313050582749,S,https://t.me/jetfuelfinance,3
35,arthurlegoff,1163778029,3632130715873476265,Arthur |,https://t.me/jetfuelfinance,1
36,Wizarddd2,1970242309,-2749805576641064488,W1zarD,https://t.me/jetfuelfinance,3
37,domtrj,2025485242,9085336352824092310,Donny,https://t.me/jetfuelfinance,3
38,Nuniet,463112207,3248615138564660500,Daniel,https://t.me/jetfuelfinance,1
39,coyzio,2145876689,6472711941581607110,Fiuxy,https://t.me/jetfuelfinance,1
40,aibsc,1619180191,4886540569634613207,Six,https://t.me/jetfuelfinance,1
41,asbsc,5514902386,1017271828750585561,Ridzwan,https://t.me/jetfuelfinance,1
42,VCAdam,1854926672,-6235623766204036256,Adam,https://t.me/jetfuelfinance,3
43,God_is_Good60,2035092898,3664245050214984035,Mohammed,https://t.me/jetfuelfinance,3
44,forriesmithofficial,5713068380,2264271529888349168,Forrie J,https://t.me/jetfuelfinance,1
45,woltervinz,5142784484,7079076789938253289,Rachel,https://t.me/jetfuelfinance,1
46,kreed773,5335294267,601413938578358660,天涯,https://t.me/jetfuelfinance,3
47,BillionGram,1478564514,4470386600428278456,BillionGram,https://t.me/jetfuelfinance,1
48,Rifqiuqiu,1705560815,-2501429991383988654,Muhammad,https://t.me/jetfuelfinance,1
49,meagus,702006587,1261399707787833521,Agus,https://t.me/jetfuelfinance,3
50,Beam_me,66407692,8291955894677384943,🐅,https://t.me/jetfuelfinance,3
51,Aikatomo,6280129852,6239790445168027941,Aikaha,https://t.me/jetfuelfinance,1
52,Next_Level_007,1811252634,1294615557315015168,EL PROFESSOR,https://t.me/jetfuelfinance,1
53,titn02,6233718565,5663570231975400453,Titan,https://t.me/jetfuelfinance,1
54,Atisuto_Cripto,1235346215,-43152081048611182,Atisuto,https://t.me/jetfuelfinance,3
55,Xiaoqiao11223,6251135868,5211850564864744279,Xiao,https://t.me/jetfuelfinance,3
56,Mikeismyusername,1308166033,8408206508299733816,Mike,https://t.me/jetfuelfinance,1
57,Anhkhoa91,417527330,-4167259367177306674,Anh,https://t.me/jetfuelfinance,1
58,asdlp4,5697819557,-1610150258513504119,Hiiy,https://t.me/jetfuelfinance,3
